index;count;date;enddate;entity_text;entity_type;levenshtein;match_type;newspaper;party;politician;relevance;response_id;role;search_term;sentiment;sentiment_id;startdate;url;datetimedelta;sentimentcategory
2018-04-26;1;2018-04-26;2018-04-27;Dorothee BÃ¤r;Person;-1;1;www.n-tv.de;CSU;Dorothee BÃ¤r;0.401694;944cbe66-87b1-489c-a47d-e496dbd9d05d;deputy chairperson;Dorothee BÃ¤r;0.0;8b6f833f-eb0f-44f6-8439-2ddca26fe5c8;2018-04-25;https://www.n-tv.de/ticker/Dorothee-Baer-redet-weiter-ueber-Lufttaxis-article20406395.html;478.0;neutral
2018-04-26;1;2018-04-26;2018-04-27;CSU;Organization;-1;2;www.n-tv.de;CSU;CSU;0.255992;944cbe66-87b1-489c-a47d-e496dbd9d05d;party name;Dorothee BÃ¤r;0.0;75543320-e2c4-45e4-a0a6-06b6efea481b;2018-04-25;https://www.n-tv.de/ticker/Dorothee-Baer-redet-weiter-ueber-Lufttaxis-article20406395.html;478.0;neutral
2018-04-26;1;2018-04-26;2018-04-27;BÃ¤r;Person;9;3;www.n-tv.de;CSU;Dorothee BÃ¤r;0.245075;944cbe66-87b1-489c-a47d-e496dbd9d05d;deputy chairperson;Dorothee BÃ¤r;0.0;f49eecb4-746b-4cb5-bd0b-301068e324f6;2018-04-25;https://www.n-tv.de/ticker/Dorothee-Baer-redet-weiter-ueber-Lufttaxis-article20406395.html;478.0;neutral
2018-04-26;2;2018-04-26;2018-04-27;AfD;Organization;-1;2;www.n-tv.de;AfD;AfD;0.46159;944cbe66-87b1-489c-a47d-e496dbd9d05d;party name;Dorothee BÃ¤r;-0.894079;37e89dda-b1eb-47c7-949c-d7d0f7846180;2018-04-25;https://www.n-tv.de/mediathek/videos/politik/EU-will-konsequenter-gegen-Fake-News-vorgehen-article20407001.html;478.0;negative
2018-04-26;1;2018-04-26;2018-04-27;AfD;Organization;-1;2;www.welt.de;AfD;AfD;0.0393297;98f54eae-fba9-4fd4-82b4-86539af951fe;party name;NPD;0.0;e88919ef-8f76-4d34-81ec-a3de3f6abd67;2018-04-24;https://www.welt.de/newsticker/dpa_nt/infoline_nt/schlaglichter_nt/article175871481/Der-Bundestag-will-die-NPD-finanziell-austrocknen.html;478.0;neutral
2018-04-26;1;2018-04-26;2018-04-27;SPD;Organization;-1;2;www.tagesschau.de;SPD;SPD;0.0576754;cb548c60-cea4-42c9-a56c-e45f87991419;party name;Heiko Maas;0.0;0884613f-2875-4b39-b46e-a976d3d00842;2018-04-25;https://www.tagesschau.de/ausland/syrien-deutschland-103.html;478.0;neutral
2018-04-26;1;2018-04-26;2018-04-27;Heiko Maas;Person;-1;1;www.tagesschau.de;SPD;Heiko Maas;0.0403016;cb548c60-cea4-42c9-a56c-e45f87991419;minister government 1;Heiko Maas;-0.803947;d9a53733-e870-448b-9685-85643665cbc0;2018-04-25;https://www.tagesschau.de/ausland/syrien-konferenz-bruessel-105.html;478.0;negative
2018-04-26;2;2018-04-26;2018-04-27;Maas;Person;6;3;www.tagesschau.de;SPD;Heiko Maas;0.0699443;cb548c60-cea4-42c9-a56c-e45f87991419;minister government 1;Heiko Maas;0.0;efda4c8f-71d5-4466-b011-7e7c33ba38e7;2018-04-25;https://www.tagesschau.de/ausland/syrien-konferenz-bruessel-105.html;478.0;neutral
2018-04-26;2;2018-04-26;2018-04-27;SPD;Organization;-1;2;www.neues-deutschland.de;SPD;SPD;0.301855;b47a0152-e522-4bdd-a8dd-0e1b20cc20d3;party name;Michael MÃ¼ller;0.0;ae2167d3-139f-42aa-a421-3fb0faf9f5dc;2018-04-24;https://www.neues-deutschland.de/artikel/1086372.tempelhofer-feld-regierender-betonmeister.html;478.0;neutral
2018-04-26;1;2018-04-26;2018-04-27;FDP;Organization;-1;2;www.zeit.de;FDP;FDP;0.248403;049000b8-7b5a-45ca-911d-0007ee289514;party name;Junge Liberale;0.0;06ab77ed-d14b-4b91-8aee-7ef9bd724cba;2018-04-26;https://www.zeit.de/news/2018-04/27/deutschland-ria-schroeder-neue-bundesvorsitzende-der-jungen-liberalen-27234402;478.0;neutral
2018-04-26;1;2018-04-26;2018-04-27;Ria SchrÃ¶der;Person;3;4;www.zeit.de;CDU;Ole SchrÃ¶der;0.545235;049000b8-7b5a-45ca-911d-0007ee289514;member of federal parliament 1;Junge Liberale;0.0;3a632929-5f86-4492-9f11-ff082f53efdd;2018-04-26;https://www.zeit.de/news/2018-04/27/deutschland-ria-schroeder-neue-bundesvorsitzende-der-jungen-liberalen-27234402;478.0;neutral
